name,time,application,num_replicas,batch_size
cifar10-165,14071.0,cifar10,12,4096
ncf-166,14104.0,ncf,1,32768
cifar10-167,14108.0,cifar10,6,2048
ncf-168,14109.0,ncf,1,32768
ncf-169,14140.0,ncf,1,32768
cifar10-170,14143.0,cifar10,8,2048
ncf-171,14156.0,ncf,1,32768
ncf-172,14161.0,ncf,1,32768
cifar10-173,14185.0,cifar10,8,2048
cifar10-174,14196.0,cifar10,16,4096
cifar10-175,14225.0,cifar10,6,2048
cifar10-176,14244.0,cifar10,12,4096
ncf-177,14251.0,ncf,1,32768
cifar10-178,14255.0,cifar10,16,4096
cifar10-179,14278.0,cifar10,12,4096
ncf-180,14287.0,ncf,1,32768
ncf-181,14497.0,ncf,1,32768
cifar10-182,15097.0,cifar10,8,2048
cifar10-183,15211.0,cifar10,8,2048
ncf-184,15216.0,ncf,1,32768
ncf-185,15697.0,ncf,1,32768
bert-186,15907.0,bert,12,384
yolov3-187,15908.0,yolov3,4,64
yolov3-188,15910.0,yolov3,4,64
yolov3-189,15934.0,yolov3,4,64
yolov3-190,15975.0,yolov3,4,64
ncf-191,16897.0,ncf,1,32768
cifar10-192,17183.0,cifar10,16,4096
cifar10-193,17497.0,cifar10,12,4096
ncf-194,18077.0,ncf,1,32768
cifar10-195,18096.0,cifar10,6,2048
cifar10-196,18139.0,cifar10,6,2048
ncf-197,18160.0,ncf,1,32768
ncf-198,18166.0,ncf,1,32768
cifar10-199,18169.0,cifar10,8,2048
ncf-200,18175.0,ncf,1,32768
ncf-201,18178.0,ncf,1,32768
yolov3-202,18195.0,yolov3,4,64
cifar10-203,18227.0,cifar10,6,2048
ncf-204,18227.0,ncf,1,32768
cifar10-205,18294.0,cifar10,8,2048
ncf-206,18295.0,ncf,1,32768
cifar10-207,18322.0,cifar10,6,2048
cifar10-208,18381.0,cifar10,6,2048
cifar10-209,18565.0,cifar10,16,4096
ncf-210,18696.0,ncf,1,32768
yolov3-211,19031.0,yolov3,4,64
cifar10-212,19298.0,cifar10,12,4096
ncf-213,19848.0,ncf,1,32768
ncf-214,19899.0,ncf,1,32768
cifar10-215,20042.0,cifar10,6,2048
ncf-216,20496.0,ncf,1,32768
ncf-217,20636.0,ncf,1,32768
ncf-218,20959.0,ncf,1,32768
ncf-219,21097.0,ncf,1,32768
ncf-220,21122.0,ncf,1,32768
cifar10-221,21487.0,cifar10,6,2048
yolov3-222,22109.0,yolov3,4,64
cifar10-223,22297.0,cifar10,8,2048
ncf-224,22693.0,ncf,1,32768
cifar10-225,22696.0,cifar10,6,2048
cifar10-226,22696.0,cifar10,12,4096
ncf-227,22699.0,ncf,1,32768
ncf-228,22700.0,ncf,1,32768
cifar10-229,22703.0,cifar10,12,4096
cifar10-230,22704.0,cifar10,16,4096
ncf-231,22707.0,ncf,1,32768
cifar10-232,22707.0,cifar10,6,2048
ncf-233,22711.0,ncf,1,32768
ncf-234,22714.0,ncf,1,32768
cifar10-235,22714.0,cifar10,12,4096
ncf-236,22717.0,ncf,1,32768
ncf-237,22718.0,ncf,1,32768
cifar10-238,22721.0,cifar10,12,4096
ncf-239,22722.0,ncf,1,32768
cifar10-240,22724.0,cifar10,6,2048
ncf-241,22725.0,ncf,1,32768
ncf-242,22727.0,ncf,1,32768
cifar10-243,22729.0,cifar10,8,2048
ncf-244,22733.0,ncf,1,32768
ncf-245,22734.0,ncf,1,32768
cifar10-246,22737.0,cifar10,12,4096
cifar10-247,22738.0,cifar10,16,4096
ncf-248,22740.0,ncf,1,32768
ncf-249,22742.0,ncf,1,32768
ncf-250,22744.0,ncf,1,32768
ncf-251,22745.0,ncf,1,32768
ncf-252,22750.0,ncf,1,32768
ncf-253,22750.0,ncf,1,32768
cifar10-254,22753.0,cifar10,8,2048
ncf-255,22754.0,ncf,1,32768
ncf-256,22758.0,ncf,1,32768
ncf-257,22758.0,ncf,1,32768
ncf-258,22762.0,ncf,1,32768
ncf-259,22762.0,ncf,1,32768
cifar10-260,22767.0,cifar10,8,2048
ncf-261,22771.0,ncf,1,32768
ncf-262,22775.0,ncf,1,32768
ncf-263,22775.0,ncf,1,32768
ncf-264,22780.0,ncf,1,32768
cifar10-265,22780.0,cifar10,8,2048
cifar10-266,22783.0,cifar10,12,4096
cifar10-267,22783.0,cifar10,8,2048
ncf-268,22786.0,ncf,1,32768
cifar10-269,22787.0,cifar10,16,4096
cifar10-270,22790.0,cifar10,12,4096
ncf-271,22790.0,ncf,1,32768
cifar10-272,22793.0,cifar10,12,4096
deepspeech2-273,22800.0,deepspeech2,8,320
cifar10-274,22800.0,cifar10,8,2048
cifar10-275,22803.0,cifar10,16,4096
cifar10-276,22807.0,cifar10,16,4096
ncf-277,22810.0,ncf,1,32768
cifar10-278,22811.0,cifar10,6,2048
ncf-279,22814.0,ncf,1,32768
cifar10-280,22814.0,cifar10,16,4096
cifar10-281,22818.0,cifar10,8,2048
cifar10-282,22818.0,cifar10,8,2048
ncf-283,22821.0,ncf,1,32768
cifar10-284,22823.0,cifar10,16,4096
cifar10-285,22825.0,cifar10,6,2048
ncf-286,22826.0,ncf,1,32768
ncf-287,22828.0,ncf,1,32768
ncf-288,22829.0,ncf,1,32768
ncf-289,22832.0,ncf,1,32768
ncf-290,22833.0,ncf,1,32768
cifar10-291,22835.0,cifar10,12,4096
cifar10-292,22837.0,cifar10,12,4096
cifar10-293,22838.0,cifar10,6,2048
ncf-294,22841.0,ncf,1,32768
cifar10-295,22841.0,cifar10,8,2048
ncf-296,22845.0,ncf,1,32768
cifar10-297,22845.0,cifar10,16,4096
ncf-298,22848.0,ncf,1,32768
cifar10-299,22849.0,cifar10,6,2048
cifar10-300,22856.0,cifar10,6,2048
ncf-301,22856.0,ncf,1,32768
cifar10-302,22860.0,cifar10,8,2048
ncf-303,22860.0,ncf,1,32768
ncf-304,22867.0,ncf,1,32768
ncf-305,22867.0,ncf,1,32768
ncf-306,22870.0,ncf,1,32768
cifar10-307,22870.0,cifar10,16,4096
ncf-308,22874.0,ncf,1,32768
ncf-309,22874.0,ncf,1,32768
cifar10-310,22878.0,cifar10,16,4096
cifar10-311,22879.0,cifar10,8,2048
ncf-312,22882.0,ncf,1,32768
cifar10-313,22882.0,cifar10,16,4096
cifar10-314,22886.0,cifar10,6,2048
cifar10-315,22886.0,cifar10,12,4096
ncf-316,22890.0,ncf,1,32768
cifar10-317,22890.0,cifar10,12,4096
ncf-318,22894.0,ncf,1,32768
cifar10-319,22894.0,cifar10,12,4096
cifar10-320,22896.0,cifar10,6,2048
cifar10-321,22897.0,cifar10,16,4096
ncf-322,22897.0,ncf,1,32768
cifar10-323,22900.0,cifar10,8,2048
cifar10-324,22904.0,cifar10,12,4096
ncf-325,22904.0,ncf,1,32768
cifar10-326,22908.0,cifar10,12,4096
ncf-327,22908.0,ncf,1,32768
ncf-328,22912.0,ncf,1,32768
cifar10-329,22912.0,cifar10,12,4096
cifar10-330,22915.0,cifar10,16,4096
cifar10-331,22915.0,cifar10,6,2048
cifar10-332,22919.0,cifar10,8,2048
ncf-333,22920.0,ncf,1,32768
cifar10-334,22926.0,cifar10,12,4096
ncf-335,22933.0,ncf,1,32768
cifar10-336,22933.0,cifar10,16,4096
ncf-337,22936.0,ncf,1,32768
ncf-338,22937.0,ncf,1,32768
cifar10-339,22940.0,cifar10,8,2048
cifar10-340,22940.0,cifar10,16,4096
cifar10-341,22944.0,cifar10,8,2048
ncf-342,22944.0,ncf,1,32768
cifar10-343,22948.0,cifar10,16,4096
cifar10-344,22951.0,cifar10,8,2048
ncf-345,22951.0,ncf,1,32768
ncf-346,22955.0,ncf,1,32768
cifar10-347,22955.0,cifar10,8,2048
cifar10-348,22958.0,cifar10,12,4096
cifar10-349,22959.0,cifar10,6,2048
ncf-350,22963.0,ncf,1,32768
cifar10-351,22963.0,cifar10,8,2048
cifar10-352,22966.0,cifar10,6,2048
cifar10-353,22966.0,cifar10,6,2048
ncf-354,22970.0,ncf,1,32768
cifar10-355,22971.0,cifar10,16,4096
cifar10-356,22975.0,cifar10,12,4096
cifar10-357,22975.0,cifar10,16,4096
cifar10-358,22979.0,cifar10,8,2048
ncf-359,22980.0,ncf,1,32768
ncf-360,22982.0,ncf,1,32768
ncf-361,22983.0,ncf,1,32768
cifar10-362,22987.0,cifar10,6,2048
ncf-363,22987.0,ncf,1,32768
cifar10-364,22991.0,cifar10,16,4096
cifar10-365,22991.0,cifar10,8,2048
cifar10-366,22995.0,cifar10,16,4096
cifar10-367,22995.0,cifar10,16,4096
ncf-368,23000.0,ncf,1,32768
ncf-369,23000.0,ncf,1,32768
cifar10-370,23004.0,cifar10,12,4096
ncf-371,23004.0,ncf,1,32768
deepspeech2-372,23007.0,deepspeech2,8,320
cifar10-373,23007.0,cifar10,6,2048
ncf-374,23010.0,ncf,1,32768
cifar10-375,23011.0,cifar10,12,4096
ncf-376,23014.0,ncf,1,32768
ncf-377,23014.0,ncf,1,32768
ncf-378,23018.0,ncf,1,32768
ncf-379,23018.0,ncf,1,32768
ncf-380,23021.0,ncf,1,32768
ncf-381,23022.0,ncf,1,32768
cifar10-382,23025.0,cifar10,8,2048
cifar10-383,23026.0,cifar10,8,2048
cifar10-384,23029.0,cifar10,8,2048
ncf-385,23029.0,ncf,1,32768
ncf-386,23032.0,ncf,1,32768
ncf-387,23036.0,ncf,1,32768
cifar10-388,23039.0,cifar10,6,2048
ncf-389,23040.0,ncf,1,32768
ncf-390,23043.0,ncf,1,32768
ncf-391,23043.0,ncf,1,32768
ncf-392,23046.0,ncf,1,32768
ncf-393,23047.0,ncf,1,32768
ncf-394,23050.0,ncf,1,32768
cifar10-395,23051.0,cifar10,12,4096
ncf-396,23054.0,ncf,1,32768
cifar10-397,23054.0,cifar10,6,2048
ncf-398,23058.0,ncf,1,32768
cifar10-399,23067.0,cifar10,6,2048
ncf-400,23067.0,ncf,1,32768
cifar10-401,23070.0,cifar10,12,4096
ncf-402,23071.0,ncf,1,32768
cifar10-403,23075.0,cifar10,6,2048
ncf-404,23078.0,ncf,1,32768
cifar10-405,23497.0,cifar10,6,2048
yolov3-406,24089.0,yolov3,4,64
ncf-407,24096.0,ncf,1,32768
ncf-408,24455.0,ncf,1,32768
cifar10-409,24696.0,cifar10,6,2048
cifar10-410,25296.0,cifar10,12,4096
imagenet-411,25722.0,imagenet,32,6400
imagenet-412,25726.0,imagenet,48,6400
imagenet-413,25752.0,imagenet,48,6400
ncf-414,25896.0,ncf,1,32768
imagenet-415,26069.0,imagenet,48,6400
ncf-416,26199.0,ncf,1,32768
cifar10-417,26200.0,cifar10,12,4096
cifar10-418,26480.0,cifar10,12,4096
ncf-419,26496.0,ncf,1,32768
cifar10-420,26598.0,cifar10,16,4096
cifar10-421,26625.0,cifar10,6,2048
cifar10-422,26686.0,cifar10,16,4096
yolov3-423,26858.0,yolov3,4,64
ncf-424,26908.0,ncf,1,32768
yolov3-425,26957.0,yolov3,4,64
cifar10-426,27096.0,cifar10,8,2048
cifar10-427,27302.0,cifar10,16,4096
cifar10-428,27337.0,cifar10,16,4096
yolov3-429,27361.0,yolov3,4,64
cifar10-430,27381.0,cifar10,16,4096
yolov3-431,27384.0,yolov3,4,64
ncf-432,27402.0,ncf,1,32768
yolov3-433,27415.0,yolov3,4,64
cifar10-434,27436.0,cifar10,16,4096
yolov3-435,27455.0,yolov3,4,64
ncf-436,27465.0,ncf,1,32768
cifar10-437,27536.0,cifar10,6,2048
cifar10-438,27564.0,cifar10,16,4096
ncf-439,27589.0,ncf,1,32768
imagenet-440,27599.0,imagenet,32,6400
cifar10-441,27664.0,cifar10,16,4096
ncf-442,27693.0,ncf,1,32768
ncf-443,27696.0,ncf,1,32768
cifar10-444,27785.0,cifar10,16,4096
yolov3-445,28125.0,yolov3,4,64
yolov3-446,28161.0,yolov3,4,64
cifar10-447,28278.0,cifar10,6,2048
cifar10-448,28282.0,cifar10,12,4096
cifar10-449,28285.0,cifar10,6,2048
cifar10-450,28296.0,cifar10,16,4096
yolov3-451,28336.0,yolov3,4,64
cifar10-452,28896.0,cifar10,8,2048
yolov3-453,29083.0,yolov3,4,64
imagenet-454,29105.0,imagenet,24,3200
imagenet-455,29133.0,imagenet,24,3200
imagenet-456,29149.0,imagenet,32,6400
yolov3-457,29174.0,yolov3,4,64
imagenet-458,29191.0,imagenet,24,3200
imagenet-459,29215.0,imagenet,48,6400
cifar10-460,29292.0,cifar10,8,2048
ncf-461,29299.0,ncf,1,32768
ncf-462,29425.0,ncf,1,32768
ncf-463,29429.0,ncf,1,32768
ncf-464,29432.0,ncf,1,32768
cifar10-465,29496.0,cifar10,16,4096
yolov3-466,29510.0,yolov3,4,64
deepspeech2-467,29529.0,deepspeech2,6,320
bert-468,29866.0,bert,8,384
yolov3-469,29887.0,yolov3,4,64
imagenet-470,29895.0,imagenet,48,6400
yolov3-471,29932.0,yolov3,4,64
yolov3-472,29990.0,yolov3,4,64
ncf-473,30096.0,ncf,1,32768
ncf-474,30362.0,ncf,1,32768
yolov3-475,30584.0,yolov3,4,64
cifar10-476,30627.0,cifar10,6,2048
ncf-477,30630.0,ncf,1,32768
ncf-478,30634.0,ncf,1,32768
imagenet-479,30651.0,imagenet,32,6400
cifar10-480,30653.0,cifar10,6,2048
cifar10-481,30744.0,cifar10,8,2048
yolov3-482,30803.0,yolov3,4,64
yolov3-483,30822.0,yolov3,4,64
yolov3-484,30843.0,yolov3,4,64
yolov3-485,30865.0,yolov3,4,64
yolov3-486,30890.0,yolov3,4,64
cifar10-487,31015.0,cifar10,6,2048
yolov3-488,31649.0,yolov3,4,64
ncf-489,31897.0,ncf,1,32768
yolov3-490,31972.0,yolov3,4,64
yolov3-491,31975.0,yolov3,4,64
ncf-492,32270.0,ncf,1,32768
ncf-493,32274.0,ncf,1,32768
cifar10-494,32496.0,cifar10,16,4096
cifar10-495,33096.0,cifar10,12,4096
ncf-496,33599.0,ncf,1,32768
cifar10-497,33696.0,cifar10,12,4096
cifar10-498,34107.0,cifar10,12,4096
cifar10-499,34296.0,cifar10,8,2048
cifar10-500,34790.0,cifar10,6,2048
ncf-501,34791.0,ncf,1,32768
ncf-502,34897.0,ncf,1,32768
ncf-503,35496.0,ncf,1,32768
ncf-504,35764.0,ncf,1,32768
ncf-505,35977.0,ncf,1,32768
ncf-506,35978.0,ncf,1,32768
cifar10-507,35978.0,cifar10,12,4096
cifar10-508,35979.0,cifar10,16,4096
cifar10-509,35982.0,cifar10,12,4096
ncf-510,36097.0,ncf,1,32768
ncf-511,36226.0,ncf,1,32768
cifar10-512,36227.0,cifar10,12,4096
cifar10-513,36612.0,cifar10,6,2048
ncf-514,36696.0,ncf,1,32768
cifar10-515,37026.0,cifar10,6,2048
ncf-516,37173.0,ncf,1,32768
cifar10-517,37234.0,cifar10,6,2048
ncf-518,37235.0,ncf,1,32768
ncf-519,37296.0,ncf,1,32768
cifar10-520,37296.0,cifar10,16,4096
cifar10-521,37297.0,cifar10,16,4096
cifar10-522,37341.0,cifar10,16,4096
ncf-523,37440.0,ncf,1,32768
ncf-524,37447.0,ncf,1,32768
ncf-525,37896.0,ncf,1,32768
yolov3-526,38225.0,yolov3,4,64
cifar10-527,38333.0,cifar10,6,2048
cifar10-528,38496.0,cifar10,6,2048
ncf-529,38826.0,ncf,1,32768
ncf-530,39096.0,ncf,1,32768
ncf-531,39696.0,ncf,1,32768
cifar10-532,39854.0,cifar10,12,4096
cifar10-533,40296.0,cifar10,12,4096
ncf-534,40595.0,ncf,1,32768
ncf-535,40861.0,ncf,1,32768
ncf-536,40862.0,ncf,1,32768
yolov3-537,40939.0,yolov3,4,64
cifar10-538,41496.0,cifar10,16,4096
ncf-539,41682.0,ncf,1,32768
cifar10-540,42097.0,cifar10,16,4096
cifar10-541,42696.0,cifar10,8,2048
cifar10-542,43298.0,cifar10,6,2048
ncf-543,43896.0,ncf,1,32768
ncf-544,44496.0,ncf,1,32768
cifar10-545,45098.0,cifar10,16,4096
yolov3-546,45439.0,yolov3,4,64
ncf-547,45616.0,ncf,1,32768
ncf-548,45696.0,ncf,1,32768
cifar10-549,46896.0,cifar10,16,4096
cifar10-550,48096.0,cifar10,6,2048
cifar10-551,48696.0,cifar10,16,4096
imagenet-552,49289.0,imagenet,24,3200
ncf-553,49297.0,ncf,1,32768
cifar10-554,49896.0,cifar10,6,2048
cifar10-555,51096.0,cifar10,12,4096
cifar10-556,52897.0,cifar10,8,2048
cifar10-557,53496.0,cifar10,16,4096
ncf-558,54098.0,ncf,1,32768
cifar10-559,54143.0,cifar10,6,2048
imagenet-560,54234.0,imagenet,32,6400
ncf-561,54696.0,ncf,1,32768
ncf-562,55296.0,ncf,1,32768
cifar10-563,55896.0,cifar10,6,2048
ncf-564,56496.0,ncf,1,32768
cifar10-565,57096.0,cifar10,6,2048
imagenet-566,57637.0,imagenet,24,3200
cifar10-567,57696.0,cifar10,16,4096
cifar10-568,58896.0,cifar10,8,2048
cifar10-569,59496.0,cifar10,8,2048
deepspeech2-570,60088.0,deepspeech2,8,320
cifar10-571,61296.0,cifar10,12,4096
ncf-572,61897.0,ncf,1,32768
ncf-573,62497.0,ncf,1,32768
imagenet-574,62497.0,imagenet,48,6400
ncf-575,63096.0,ncf,1,32768
cifar10-576,63696.0,cifar10,12,4096
ncf-577,64297.0,ncf,1,32768
cifar10-578,64897.0,cifar10,6,2048
imagenet-579,65335.0,imagenet,48,6400
ncf-580,65496.0,ncf,1,32768
imagenet-581,65707.0,imagenet,32,6400
ncf-582,66696.0,ncf,1,32768
ncf-583,67296.0,ncf,1,32768
yolov3-584,67435.0,yolov3,4,64
yolov3-585,67609.0,yolov3,4,64
yolov3-586,67657.0,yolov3,4,64
ncf-587,67896.0,ncf,1,32768
ncf-588,69096.0,ncf,1,32768
ncf-589,69696.0,ncf,1,32768
yolov3-590,69879.0,yolov3,4,64
ncf-591,70297.0,ncf,1,32768
ncf-592,70896.0,ncf,1,32768
cifar10-593,71497.0,cifar10,8,2048
cifar10-594,72096.0,cifar10,8,2048
cifar10-595,72696.0,cifar10,6,2048
imagenet-596,74196.0,imagenet,24,3200
imagenet-597,75082.0,imagenet,32,6400
ncf-598,75096.0,ncf,1,32768
ncf-599,75696.0,ncf,1,32768
cifar10-600,76210.0,cifar10,8,2048
cifar10-601,76297.0,cifar10,12,4096
bert-602,76858.0,bert,8,384
cifar10-603,76896.0,cifar10,6,2048
cifar10-604,77499.0,cifar10,12,4096
imagenet-605,77843.0,imagenet,32,6400
cifar10-606,78096.0,cifar10,8,2048
cifar10-607,78696.0,cifar10,6,2048
cifar10-608,79296.0,cifar10,6,2048
ncf-609,79896.0,ncf,1,32768
bert-610,80094.0,bert,8,384
deepspeech2-611,80095.0,deepspeech2,8,320
bert-612,80125.0,bert,16,384
bert-613,80126.0,bert,12,384
cifar10-614,80496.0,cifar10,8,2048
deepspeech2-615,80571.0,deepspeech2,8,320
ncf-616,80822.0,ncf,1,32768
cifar10-617,80859.0,cifar10,6,2048
cifar10-618,81096.0,cifar10,12,4096
bert-619,81242.0,bert,8,384
deepspeech2-620,81244.0,deepspeech2,8,320
ncf-621,81696.0,ncf,1,32768
cifar10-622,82296.0,cifar10,8,2048
yolov3-623,82557.0,yolov3,4,64
bert-624,82656.0,bert,6,384
ncf-625,83496.0,ncf,1,32768
cifar10-626,83501.0,cifar10,12,4096
cifar10-627,83523.0,cifar10,6,2048
cifar10-628,83555.0,cifar10,12,4096
cifar10-629,83613.0,cifar10,12,4096
cifar10-630,84096.0,cifar10,6,2048
cifar10-631,84697.0,cifar10,6,2048
ncf-632,85098.0,ncf,1,32768
cifar10-633,86496.0,cifar10,16,4096
deepspeech2-634,86930.0,deepspeech2,6,320
deepspeech2-635,87019.0,deepspeech2,12,640
deepspeech2-636,87051.0,deepspeech2,8,320
cifar10-637,87096.0,cifar10,16,4096
deepspeech2-638,87277.0,deepspeech2,8,320
ncf-639,87696.0,ncf,1,32768
cifar10-640,88296.0,cifar10,12,4096
ncf-641,88896.0,ncf,1,32768
cifar10-642,89496.0,cifar10,12,4096
ncf-643,90097.0,ncf,1,32768
ncf-644,90696.0,ncf,1,32768
cifar10-645,91296.0,cifar10,12,4096
ncf-646,91897.0,ncf,1,32768
cifar10-647,92497.0,cifar10,12,4096
ncf-648,94296.0,ncf,1,32768
ncf-649,94896.0,ncf,1,32768
cifar10-650,95496.0,cifar10,16,4096
cifar10-651,96096.0,cifar10,16,4096
ncf-652,96696.0,ncf,1,32768
cifar10-653,97296.0,cifar10,12,4096
cifar10-654,97896.0,cifar10,8,2048
cifar10-655,98499.0,cifar10,16,4096
ncf-656,99696.0,ncf,1,32768
bert-657,100251.0,bert,6,384
deepspeech2-658,100297.0,deepspeech2,8,320
cifar10-659,100896.0,cifar10,16,4096
ncf-660,101496.0,ncf,1,32768
ncf-661,102096.0,ncf,1,32768
